geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
1798520,zh-CN,AS,亚洲,CN,中国,YN,云南,,,普洱,,Asia/Shanghai,0
1798524,zh-CN,AS,亚洲,CN,中国,SH,上海,,,上海浦东,,Asia/Shanghai,0
1798654,zh-CN,AS,亚洲,CN,中国,JX,江西,,,萍乡,,Asia/Shanghai,0
1798744,zh-CN,AS,亚洲,CN,中国,NX,宁夏回族自治区,,,平罗城关镇,,Asia/Shanghai,0
1798827,zh-CN,AS,亚洲,CN,中国,HA,河南,,,平顶山市,,Asia/Shanghai,0
1798998,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,大渡口,,Asia/Shanghai,0
1799194,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,广安,,Asia/Shanghai,0
1799389,zh-CN,AS,亚洲,CN,中国,YN,云南,,,宁洱,,Asia/Shanghai,0
1799397,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,宁波市,,Asia/Shanghai,0
1799491,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,内江,,Asia/Shanghai,0
1799629,zh-CN,AS,亚洲,CN,中国,HA,河南,,,南阳市,,Asia/Shanghai,0
1799722,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,南通,,Asia/Shanghai,0
1799869,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,南宁市,,Asia/Shanghai,0
1799962,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,南京,,Asia/Shanghai,0
1800073,zh-CN,AS,亚洲,CN,中国,BJ,北京市,,,南岗洼,,Asia/Shanghai,0
1800146,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,南充,,Asia/Shanghai,0
1800163,zh-CN,AS,亚洲,CN,中国,JX,江西,,,南昌,,Asia/Shanghai,0
1800201,zh-CN,AS,亚洲,CN,中国,GD,广东,,,高要,,Asia/Shanghai,0
1800433,zh-CN,AS,亚洲,CN,中国,HA,河南,,,青屏,,Asia/Shanghai,0
1800531,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,汨罗城关镇,,Asia/Shanghai,0
1800627,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,绵阳,,Asia/Shanghai,0
1800647,zh-CN,AS,亚洲,CN,中国,HA,河南,,,渑池城关镇,,Asia/Shanghai,0
1800657,zh-CN,AS,亚洲,CN,中国,BJ,北京市,,,门头沟,,Asia/Shanghai,0
1800684,zh-CN,AS,亚洲,CN,中国,HA,河南,,,会昌,,Asia/Shanghai,0
1800844,zh-CN,AS,亚洲,CN,中国,HI,海南,,,美蓝,,Asia/Shanghai,0
1801180,zh-CN,AS,亚洲,CN,中国,GD,广东,,,茂名,,Asia/Urumqi,0
1801582,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,麻城,,Asia/Shanghai,0
1801640,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,泸州,,Asia/Shanghai,0
1801792,zh-CN,AS,亚洲,CN,中国,HA,河南,,,洛阳市,,Asia/Shanghai,0
1801934,zh-CN,AS,亚洲,CN,中国,HA,河南,,,漯河,,Asia/Shanghai,0
1801967,zh-CN,AS,亚洲,CN,中国,GD,广东,,,罗城,,Asia/Shanghai,0
1802095,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,芦花,,Asia/Shanghai,0
1802206,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,六安,,Asia/Shanghai,0
1802232,zh-CN,AS,亚洲,CN,中国,SX,山西,,,娄烦,,Asia/Shanghai,0
1802238,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,娄底市,,Asia/Shanghai,0
1802276,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,龙岩市,,Asia/Shanghai,0
1802689,zh-CN,AS,亚洲,CN,中国,YN,云南,,,呈贡县,,Asia/Shanghai,0
1802741,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,礼州,,Asia/Shanghai,0
1802788,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,凓城,,Asia/Shanghai,0
1802940,zh-CN,AS,亚洲,CN,中国,GD,广东,,,普宁,,Asia/Shanghai,0
1802965,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,六排,,Asia/Shanghai,0
1803245,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,丽水,,Asia/Shanghai,0
1803300,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,柳州,,Asia/Shanghai,0
1803318,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,临沂,,Asia/Shanghai,0
1803331,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,临夏城关镇,,Asia/Shanghai,0
1803359,zh-CN,AS,亚洲,CN,中国,HA,河南,,,煤山,,Asia/Shanghai,0
1803367,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,青年,,Asia/Shanghai,0
1803422,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,临海,,Asia/Shanghai,0
1803468,zh-CN,AS,亚洲,CN,中国,SX,山西,,,翠峰,,Asia/Shanghai,0
1803486,zh-CN,AS,亚洲,CN,中国,SX,山西,,,武灵,,Asia/Shanghai,0
1803552,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,灵城,,Asia/Shanghai,0
1803567,zh-CN,AS,亚洲,CN,中国,SX,山西,,,临汾市,,Asia/Shanghai,0
1803616,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,醴陵,,Asia/Shanghai,0
1803791,zh-CN,AS,亚洲,CN,中国,GD,广东,,,荔城,,Asia/Shanghai,0
1803834,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,聊城,,Asia/Shanghai,0
1803936,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,武威,,Asia/Shanghai,0
1803998,zh-CN,AS,亚洲,CN,中国,CQ,重庆,,,江北,,Asia/Shanghai,0
1804106,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,莲峰,,Asia/Shanghai,0
1804120,zh-CN,AS,亚洲,CN,中国,GD,广东,,,廉江,,Asia/Urumqi,0
1804153,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,乐山,,Asia/Shanghai,0
1804208,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,耒阳,,Asia/Shanghai,0
1804243,zh-CN,AS,亚洲,CN,中国,GD,广东,,,雷州,,Asia/Urumqi,0
1804252,zh-CN,AS,亚洲,CN,中国,GD,广东,,,乐城,,Asia/Shanghai,0
1804386,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,老河口,,Asia/Shanghai,0
1804430,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,兰州市,,Asia/Shanghai,0
1804540,zh-CN,AS,亚洲,CN,中国,HE,河北省,,,廊坊市,,Asia/Shanghai,0
1804591,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,莱芜市,,Asia/Shanghai,0
1804596,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,莱山,,Asia/Shanghai,0
1804609,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,来宾市,,Asia/Shanghai,0
1804651,zh-CN,AS,亚洲,CN,中国,YN,云南,,,昆明,,Asia/Shanghai,0
1804879,zh-CN,AS,亚洲,CN,中国,HA,河南,,,开封市,,Asia/Shanghai,0
1804991,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,隽水,,Asia/Shanghai,0
1805144,zh-CN,AS,亚洲,CN,中国,CQ,重庆,,,杨家坪,,Asia/Shanghai,0
1805179,zh-CN,AS,亚洲,CN,中国,JX,江西,,,九江市,,Asia/Shanghai,0
1805270,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,吉首市,,Asia/Shanghai,0
1805334,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,金乡,,Asia/Shanghai,0
1805503,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,金江,,Asia/Shanghai,0
1805518,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,济宁市,,Asia/Shanghai,0
1805528,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,金华,,Asia/Shanghai,0
1805680,zh-CN,AS,亚洲,CN,中国,JX,江西,,,景德镇市,,Asia/Shanghai,0
1805733,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,金昌,,Asia/Shanghai,0
1805753,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,济南市,,Asia/Shanghai,0
1805757,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,即墨市,,Asia/Shanghai,0
1805822,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,集凤,,Asia/Shanghai,0
1805844,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,界首,,Asia/Shanghai,0
1805880,zh-CN,AS,亚洲,CN,中国,GD,广东,,,街口,,Asia/Shanghai,0
1805953,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,嘉兴,,Asia/Shanghai,0
1805987,zh-CN,AS,亚洲,CN,中国,HA,河南,,,焦作市,,Asia/Shanghai,0
1806097,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,宁德,,Asia/Shanghai,0
1806218,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,姜堰市,,Asia/Shanghai,0
1806299,zh-CN,AS,亚洲,CN,中国,GD,广东,,,江门,,Asia/Shanghai,0
